model,accuracy,f1,avg_spikes_per_sample,T,beta,threshold,dropout
baseline,0.8814935064935064,0.9090909090909091,105074.16558441559,20,0.95,1.0,0.2
hybrid,0.8977272727272727,0.9193341869398207,191513.82305194804,25,0.93,0.75,0.0
